aspect,sentiment,date,id,flag,group
sentiment,positive,2023-12-21 15:43:12,,0,
utility,positive,2023-12-21 13:01:02,,0,utility
application,positive,2023-12-21 13:01:02,,0,application
utile,positive,2023-12-21 12:39:40,,0,utility
funziona,positive,2023-12-21 12:39:40,,0,
app,positive,2023-12-21 11:38:10,,0,application
photo,negative,2023-12-21 11:31:52,,0,photo
perfetto,positive,2023-12-21 11:08:24,,0,
togliesse,positive,2023-12-21 11:08:24,,0,
commissioni,positive,2023-12-21 11:08:24,,0,payment
paga,positive,2023-12-21 11:08:24,,0,
bollette,positive,2023-12-21 11:08:24,,0,
bancas,positive,2023-12-21 07:59:51,,0,
ricaricazioni,positive,2023-12-21 07:59:51,,0,
costi,positive,2023-12-21 07:59:51,,0,utility
applicazioni,positive,2023-12-21 07:59:51,,0,application
PIN,negative,2023-12-20 22:56:55,,0,security
recovery,negative,2023-12-20 22:56:55,,0,security
page,negative,2023-12-20 22:56:55,,0,
text,positive,2023-12-20 21:33:40,,0,
app,negative,2023-12-20 20:24:01,,0,application
photo,negative,2023-12-20 20:24:01,,0,photo
direction,negative,2023-12-20 20:24:01,,0,
action,negative,2023-12-20 20:24:01,,0,
message,negative,2023-12-20 20:24:01,,0,communication
app,negative,2023-12-20 19:39:36,,0,application
personalmente,positive,2023-12-20 19:24:29,,0,
trovo,positive,2023-12-20 19:24:29,,0,
molto,positive,2023-12-20 19:24:29,,0,
comodo,positive,2023-12-20 19:24:29,,0,
sentiment,positive,2023-12-20 19:15:10,,0,
concert,positive,2023-12-20 17:14:20,,0,
sentiment,very positive,2023-12-20 17:03:03,,0,
software,positive,2023-12-20 15:20:18,,0,system
experience,positive,2023-12-20 15:20:18,,0,experience
funziona,positive,2023-12-20 14:09:29,,0,
perfezione,positive,2023-12-20 14:09:29,,0,
alla,positive,2023-12-20 14:09:29,,0,
intuitivo,positive,2023-12-20 14:09:29,,0,
app,positive,2023-12-20 13:15:06,,0,application
offer,positive,2023-12-20 13:15:06,,0,
code,positive,2023-12-20 13:15:06,,0,
system,positive,2023-12-20 11:56:38,,0,system
payment,positive,2023-12-20 11:56:38,,0,payment
sensazionale,neutral,2023-12-20 11:11:24,,0,experience
greeting,positive,2023-12-20 07:59:08,,0,communication
